N;Aleat triSelection;PresqueTri triSelection;PresqueTriDeb triSelection;PresqueTriDebFin triSelection;PresqueTriFin triSelection;;;Aleat triBulles;PresqueTri triBulles;PresqueTriDeb triBulles;PresqueTriDebFin triBulles;PresqueTriFin triBulles;;;Aleat triBullesOpti;PresqueTri triBullesOpti;PresqueTriDeb triBullesOpti;PresqueTriDebFin triBullesOpti;PresqueTriFin triBullesOpti;;;Aleat triPeigne;PresqueTri triPeigne;PresqueTriDeb triPeigne;PresqueTriDebFin triPeigne;PresqueTriFin triPeigne;;;Aleat triRapide;PresqueTri triRapide;PresqueTriDeb triRapide;PresqueTriDebFin triRapide;PresqueTriFin triRapide;;;
134;9044;9044;9044;9044;9044;;;8911;8911;8911;8911;8911;;;8721;265;265;265;8911;;;1874;1740;1740;1740;1740;;;1155;1032;1153;1080;1226;;;
135;9179;9179;9179;9179;9179;;;9045;9045;9045;9045;9045;;;8892;267;267;267;9045;;;1891;1756;1756;1756;1756;;;1120;1208;1260;1108;1107;;;
136;9315;9315;9315;9315;9315;;;9180;9180;9180;9180;9180;;;8990;269;269;269;9180;;;1769;1769;1769;1769;1769;;;1092;1128;1137;1126;1034;;;
137;9452;9452;9452;9452;9452;;;9316;9316;9316;9316;9316;;;9288;271;271;271;9316;;;1921;1784;1784;1784;1784;;;1041;1085;1232;1125;1183;;;
138;9590;9590;9590;9590;9590;;;9453;9453;9453;9453;9453;;;9243;273;273;273;9453;;;1932;1794;1794;1794;1794;;;1130;1066;1159;1542;1305;;;
139;9729;9729;9729;9729;9729;;;9591;9591;9591;9591;9591;;;9563;275;275;275;9591;;;1949;1810;1810;1810;1810;;;1048;1234;1187;1258;1198;;;
140;9869;9869;9869;9869;9869;;;9730;9730;9730;9730;9730;;;9520;277;277;277;9730;;;1822;1822;1822;1822;1822;;;1184;1150;1235;1203;1143;;;
141;10010;10010;10010;10010;10010;;;9870;9870;9870;9870;9870;;;9825;279;279;279;9870;;;1836;1836;1836;1836;1836;;;1058;1242;1152;1155;1127;;;
142;10152;10152;10152;10152;10152;;;10011;10011;10011;10011;10011;;;9840;281;281;281;10011;;;1851;1851;1851;1851;1851;;;1158;1310;1137;1224;1292;;;
143;10295;10295;10295;10295;10295;;;10153;10153;10153;10153;10153;;;10000;283;283;283;10153;;;1857;1857;1857;1857;1857;;;1112;1268;1317;1156;1154;;;
144;10439;10439;10439;10439;10439;;;10296;10296;10296;10296;10296;;;10295;285;285;285;10296;;;1873;1873;1873;1873;1873;;;1336;1170;1524;1407;1311;;;
145;10584;10584;10584;10584;10584;;;10440;10440;10440;10440;10440;;;10395;287;287;287;10440;;;2172;1882;1882;1882;1882;;;1110;1237;1210;1282;1523;;;
146;10730;10730;10730;10730;10730;;;10585;10585;10585;10585;10585;;;10582;289;289;289;10585;;;2041;1895;1895;1895;1895;;;1252;1396;1499;1180;1222;;;
147;10877;10877;10877;10877;10877;;;10731;10731;10731;10731;10731;;;10695;291;291;291;10731;;;2057;1910;1910;1910;1910;;;1346;1354;1245;1193;1248;;;
148;11025;11025;11025;11025;11025;;;10878;10878;10878;10878;10878;;;10602;293;293;293;10878;;;1926;1926;1926;1926;1926;;;1175;1140;1161;1230;1282;;;
149;11174;11174;11174;11174;11174;;;11026;11026;11026;11026;11026;;;10998;295;295;295;11026;;;2238;1940;1940;1940;1940;;;1265;1153;1228;1148;1224;;;
150;11324;11324;11324;11324;11324;;;11175;11175;11175;11175;11175;;;10922;297;297;297;11175;;;2244;1944;1944;1944;2094;;;1295;1130;1581;1330;1360;;;
151;11475;11475;11475;11475;11475;;;11325;11325;11325;11325;11325;;;11247;299;299;299;11325;;;2106;1955;1955;1955;2106;;;1257;1258;1301;1177;1180;;;
152;11627;11627;11627;11627;11627;;;11476;11476;11476;11476;11476;;;11323;301;301;301;11476;;;2123;1971;1971;1971;1971;;;1298;1238;1312;1329;1461;;;
153;11780;11780;11780;11780;11780;;;11628;11628;11628;11628;11628;;;11475;303;303;303;11628;;;2442;1983;1983;1983;2136;;;1609;1211;1261;1369;1226;;;
154;11934;11934;11934;11934;11934;;;11781;11781;11781;11781;11781;;;11456;305;305;305;11781;;;2152;1998;1998;1998;1998;;;1265;1411;1589;1244;1202;;;
155;12089;12089;12089;12089;12089;;;11935;11935;11935;11935;11935;;;11934;307;307;307;11935;;;2166;2011;2011;2011;2011;;;1298;1244;1299;1489;1414;;;
156;12245;12245;12245;12245;12245;;;12090;12090;12090;12090;12090;;;11655;309;309;309;12090;;;2337;2025;2025;2025;2025;;;1515;1434;1351;1359;1630;;;
